link;source;created;lastSeen
http://www.dr.dk/nyheder/indland/dommere-fyrer-yahya-hassans-advokat-3;https://www.facebook.com/DRNyheder/;13/05/16 10:55;14/05/16 10:55
http://www.dr.dk/nyheder/indland/dorthe-frem-nafisa-ansatte-dropper-udenlandske-navne-i-telefonen;https://www.facebook.com/DRNyheder/;11/05/16 19:25;12/05/16 13:55
http://www.dr.dk/nyheder/indland/droner-skal-taeppebombe-utoej-med-mariehoens-og-rovmider;https://www.facebook.com/DRNyheder/;29/05/16 09:15;30/05/16 07:05
http://www.dr.dk/nyheder/indland/dronningen-dekorerer-embedsmaend-og-kunstnere-frem-erhvervslivets-top;https://www.facebook.com/DRNyheder/;05/05/16 10:25;06/05/16 12:45
http://www.dr.dk/nyheder/indland/dsb-beklager-undskyld-er-noget-man-siger-hvis-man-har-begaaet-en-bevidst-fejl;https://www.facebook.com/DRNyheder/;31/05/16 04:35;31/05/16 16:45
http://www.dr.dk/nyheder/indland/dsb-flopper-i-april-koerer-kun-til-tiden-paa-6-straekninger;https://www.facebook.com/DRNyheder/;21/05/16 11:15;22/05/16 11:15
http://www.dr.dk/nyheder/indland/dsb-til-togrejsende-forvent-laengere-rejsetid;https://www.facebook.com/DRNyheder/;05/05/16 07:35;06/05/16 09:35
http://www.dr.dk/nyheder/indland/efter-graensekontrol-mindst-46-har-forsoegt-gaa-til-sverige;https://www.facebook.com/DRNyheder/;02/05/16 18:15;03/05/16 15:25
http://www.dr.dk/nyheder/indland/ekspert-arbejdstilsynet-giver-misvisende-oplysninger-til-minister;https://www.facebook.com/DRNyheder/;27/05/16 04:25;27/05/16 15:25
http://www.dr.dk/nyheder/indland/ekspert-om-smaa-droner-de-er-ikke-farligere-end-saa-meget-andet-legetoej;https://www.facebook.com/DRNyheder/;05/05/16 07:15;06/05/16 09:05
http://www.dr.dk/nyheder/indland/ekspert-styrelse-vildleder-om-hpv-vaccine;https://www.facebook.com/DRNyheder/;30/05/16 06:05;30/05/16 19:05
http://www.dr.dk/nyheder/indland/eksperter-daarligt-stillede-kan-ikke-bare-vaelge-leve-sundt;https://www.facebook.com/DRNyheder/;23/05/16 10:45;24/05/16 08:45
http://www.dr.dk/nyheder/indland/ekspertgruppe-det-burde-vaere-strafbart-sige-inklusionsbarn;https://www.facebook.com/DRNyheder/;11/05/16 10:55;12/05/16 06:15
http://www.dr.dk/nyheder/indland/ekspertudvalg-drop-krav-om-inkludere-96-procent-af-skoleeleverne;https://www.facebook.com/DRNyheder/;10/05/16 20:55;11/05/16 15:45
http://www.dr.dk/nyheder/indland/en-person-er-blevet-skudt-i-koebenhavn;https://www.facebook.com/DRNyheder/;14/05/16 08:55;15/05/16 12:45
http://www.dr.dk/nyheder/indland/en-voldtaegt-skal-anmeldes-inden-72-timer-det-naar-hvert-tredje-offer-ikke;https://www.facebook.com/DRNyheder/;31/05/16 05:35;31/05/16 17:25
